Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P1911	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: EGFR (Q14865565) ? skin melanoma (Q18558032) According to statements in the property: EGFR (Q14865565) ? skin melanoma (Q18558032) When possible, data should only be stored as statements	Item
P751	which feature was introduced by this version of a product (opposite of removed feature (P756))	null	creative work - work (Q386724)	null	introduced: Jelly Bean (Q2846924) => Google Now (Q79564) introduced: iOS 5 (Q3919641) => Siri (Q582159) introduced: Windows Vista (Q11230) => Windows Desktop Gadgets (Q828312) removed: Windows XP (Q11248) => AppleTalk (Q200606) (note: this should be moved to the property statements)	Item
P872	organization that printed the creative work (if different from "publisher")	null	printed creative works, book (Q571)	companies - company (Q783794) (note: this should be moved to the property statements)	Gutenberg Bible (Q158075) ? Johannes Gutenberg (Q8958)	Item
P1912	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: CFTR (Q14864712) ? cystic fibrosis (Q178194) According to statements in the property: CFTR (Q14864712) ? cystic fibrosis (Q178194) When possible, data should only be stored as statements	Item
P750	company name of the distributor	distributor (Q13405617)	film	Intended for values to be instances of film distributor (note: this should be moved to the property statements)	According to this template: Rush Hour => New Line Cinema According to statements in the property: Rush Hour (Q255342) ? New Line Cinema (Q79202) When possible, data should only be stored as statements	Item
P1910	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: CDKN2A (Q14907009) ? skin melanoma (Q18558032) According to statements in the property: CDKN2A (Q14907009) ? skin melanoma (Q18558032) When possible, data should only be stored as statements	Item
P518	Qualifier to specify for which part of the item the claim is relevant	null	Any item statement	Any item (note: this should be moved to the property statements)	Papua (Q5095) : coordinate location (P625)=..., applies to part (P518)=capital (Q5119) (note: this should be moved to the property statements)	Item
P50	Main creator(s) of a written work. See also creator (P170).	author (Q482980)	work (Q386724)	Persons (note: this should be moved to the property statements)	Pride and Prejudice (Q170583) ? Jane Austen (Q36322) Iliad (Q8275) ? Homer (Q6691) The Lord of the Rings (Q15228) ? J. R. R. Tolkien (Q892) Anna Karenina (Q147787) ? Leo Tolstoy (Q7243)	Item
P515	indication of the state or phase of the matter at which the measure was made. Use as qualifier on properties providing measures.	state of matter (Q11430)	chemistry, physic	solid, liquid, gas - and other non-classical state of matter (Q11430) (see latest list) (note: this should be moved to the property statements)	heat capacity= xx kJ/kg °C at yy °C qualifier phase of matter (P515)=gas (Q11432) (note: this should be moved to the property statements)	Item
P636	route of administration (Q621636) A route of administration in pharmacology and toxicology is the path by which a drug, fluid, poison, or other substance is taken into the body.	route of administration (Q621636)	chemical compound (Q11173)	instances of route of administration (Q621636) (note: this should be moved to the property statements)	According to this template: Acetylsalicylic acid (Q18216) = "oral", Diazepam (Q210402) = "oral" & "intramuscular injection (Q432083)" & "intravenous infusion (Q640448)" & suppository (Q180799) According to statements in the property: Acetylsalicylic acid (Q18216) ? intramuscular injection (Q432083) When possible, data should only be stored as statements	Item
P878	notable sensors, electronics, and other avionics installed in the subject aircraft [ avionics (Q221329) ]	null	aircraft (Q11436)	notable items (note: this should be moved to the property statements)	F-14 Tomcat (Q34945) ? AN/AWG-9 (Q3416349)	Item
P514	used for stratigraphic formations to indicate if the interleave with other formations Interleaving can be observed between sedimentary units of any scale and composition.	null	stratigraphic formations, groups and members	other stratigraphic formations, groups and members (note: this should be moved to the property statements)	Colored Dolomite (Q1009776) ? Steinalm Formation (Q2339647) and Gutenstein Formation (Q1557184)	Item
P756	which feature was removed by this version of a product (opposite of introduced feature (P751))	null	creative work - work (Q386724)	null	introduced: Jelly Bean (Q2846924) => Google Now (Q79564) introduced: iOS 5 (Q3919641) => Siri (Q582159) introduced: Windows Vista (Q11230) => Windows Desktop Gadgets (Q828312) removed: Windows XP (Q11248) => AppleTalk (Q200606) (note: this should be moved to the property statements)	Item
P517	This particle is subject to this interaction	fundamental interaction (Q104934)	types of particle (Q1621273) : electrons, neutrons, photons, mesons...	one of 4 fundamental interaction (Q104934): strong interaction (Q11415), electromagnetic force (Q849919), weak interaction (Q11418), gravity (Q11412) (note: this should be moved to the property statements)	photon (Q3198) ? electromagnetic force (Q849919) electron (Q2225) ? weak interaction (Q11418), electromagnetic force (Q849919) and gravity (Q11412)	Item
P54	Sports team that the person is currently a member of	sports team (Q12973014)	Person	Organisation (note: this should be moved to the property statements)	Diego Maradona (Q17515) ? FC Barcelona (Q7156) Richie McCaw (Q726148) ? New Zealand national rugby union team (Q55801) Marcel Kittel (Q462839) ? Giant-Alpecin (Q247956)	Item
P516	engines used to power the subject	null	items powered by specific engines	any type of engine (Q44167): specific models where notable, or general engine types as applicable (see these lists) (note: this should be moved to the property statements)	According to this template: <Boeing 737> powerplant <Pratt & Whitney JT8D>, steam engine (Q12760) torpedo Mark 43 (Q6766427) powerplant electric motor (Q72313) According to statements in the property: Fiat G.50 Freccia (Q6273) ? Fiat A.74 R1C.38 (Q15142881) Boeing 737 (Q6387) ? Pratt & Whitney JT8D (Q2107964) Mark 43 (Q4043728) ? electric motor (Q72313) Mark 43 (Q4043728) ? electric motor (Q72313) Mark 43 (Q4043728) ? electric motor (Q72313) When possible, data should only be stored as statements	Item
P53	null	noble family (Q13417114)	human (Q5), fictional character (Q95074)	family/dynasty name (generally a single item) (note: this should be moved to the property statements)	Elizabeth II (Q9682) ? House of Windsor (Q81589)	Item
P58	author(s) of the screenplay or script for this work - screenwriter (Q28389)	screenwriter (Q28389)	work (Q386724)	Persons that have occupation (P106) = screenwriter (Q28389) (note: this should be moved to the property statements)	According to this template: Titanic (Q44578) ? James Cameron (Q42574) According to statements in the property: Titanic (Q44578) ? James Cameron (Q42574) When possible, data should only be stored as statements	Item
P57	null	director (Q3455803)	work (Q386724)	<?human (Q5) ()?> occupation (P106) [SQUID]<?director (Q3455803) ()?> (note: this should be moved to the property statements)	Titanic (Q44578) ? James Cameron (Q42574) no label (Q2731169) ? Tessa Schram (Q1960298) The Eel (Q1156892) ? Sh?hei Imamura (Q309950) Junior Musical - Kadanza (Q20631366) ? Frank Van Laecke (Q13637581)	Item
P59	name of the constellation where the item (astronomical object) is	constellation (Q8928)	all astronomical object (Q6999) outside the Solar System	any constellation (Q8928) (from this list). Their number must be 88, following the list of the International Astronomical Union. (note: this should be moved to the property statements)	<Andromeda Galaxy> constellation <Andromeda> (note: this should be moved to the property statements)	Item
P1909	null	side effect (Q3269441), adverse drug reaction (Q45959)	Pharmaceutical drugs, medical procedures, ...	Any symptom (note: this should be moved to the property statements)	According to this template: Influenza vaccine (Q383260) ? sore throat (Q1292082) According to statements in the property: Influenza vaccine (Q383260) ? sore throat (Q1292082) When possible, data should only be stored as statements	Item
P423	whether the player shoots left or right. See also handedness (P552).	null	person: sportsperson	laterality (Q10927834) : left-handed shot or right-handed shot (note: this should be moved to the property statements)	According to this template: Joe Thornton <shoots> left-handed shot (Q10927615) According to statements in the property: Joe Thornton (Q434899) ? left-handed shot (Q10927615) When possible, data should only be stored as statements	Item
P786	mushroom stipe (Q694131) type; indicates if a universal or partial veil is present. (excerpt from en:Stipe (mycology)) distinguishing characters include: the texture of the stipe (fibrous, brittle, chalky, leathery, firm, etc.) whether it has remains of a partial veil (such as an annulus or cortina) or universal veil (volva) whether the stipes of many mushrooms fuse at their base its general size and shape whether the stipe extends underground in a root-like structure (a rhizome)	stipe (Q694131)	mushroom (Q83093)	bare, ring, volva, ring and volva, cortina, NA (note: this should be moved to the property statements)	Shiitake mushroom (Q320999) ? bare stipe (Q14544581) Lingzhi mushroom (Q271098) ? not applicable	Item
P301	Main item of this category. See also category combines topics (P971).	null	Wikimedia category (Q4167836)	items that are not Wikimedia category (Q4167836) (note: this should be moved to the property statements)	Category:Germany (Q1410828) ? Germany (Q183)	Item
P543	person(s) that made the oath at an event, like the Olympic Games -	null	event (Q1656682), more commonly multi-sport event (Q167170)	persons (note: this should be moved to the property statements)	According to this template: 1984 Summer Olympics (Q8456) => Edwin Moses (Q52620), 1980 Summer Olympics (Q8450) => Nikolai Andrianov (Q219309), 2008 Summer Olympics (Q8567) => Zhang Yining (Q197335) According to statements in the property: 1984 Summer Olympics (Q8456) ? Edwin Moses (Q52620) 1980 Summer Olympics (Q8450) ? Nikolai Andrianov (Q219309) 2008 Summer Olympics (Q8567) ? Zhang Yining (Q197335) When possible, data should only be stored as statements	Item
